date	step	seconds	pods	not_ready	mem_used_mib	mem_limit_mib	pct	result
2026-08-19	cluster	14	13	7	814	23742	4	ok
2026-08-19	gateway-api-crds	4	13	0	1071	23742	4	failed
2026-08-19	gateway-api-crds	2	13	0	1230	23742	5	ok
2026-08-19	cert-manager	41	16	0	1546	23742	6	ok
2026-08-19	istio	46	24	0	1992	23742	8	ok
2026-08-19	kyverno	63	28	0	2816	23742	11	ok
2026-08-19	keycloak	58	29	0	3378	23742	14	ok
2026-08-19	kserve	1	29	0	3408	23742	14	failed
2026-08-19	kserve	47	30	0	3835	23742	16	ok
2026-08-19	kuadrant	111	37	1	4389	23742	18	ok
2026-08-19	observability	126	46	0	5737	23742	24	ok
2026-08-19	keda	47	50	0	6214	23742	26	ok
2026-08-19	argocd	0	50	0	6219	23742	26	failed
2026-08-19	argocd	44	59	1	7043	23742	29	ok
2026-08-19	model	0	57	0	7109	23742	29	failed
2026-08-19	model	2	57	0	7089	23742	29	ok
2026-08-19	security	0	60	0	17855	23742	75	ok
